day,timestamp,strike,log_moneyness,iv,iv_fit,iv_resid
0,0,5000,0.04879016,0.23932915,0.24638050072957732,-0.007051350729577327
0,0,5100,0.02898754,0.24005219,0.2374507397689345,0.002601450231065505
0,0,5200,0.00956945,0.23922857,0.2335603997143274,0.005668170285672597
0,0,5300,-0.00947874,0.2419514,0.2344256778942708,0.007525722105729216
0,0,5400,-0.02817088,0.23988128,0.23978208558983038,9.919441016961739e-05
0,0,5500,-0.04652002,0.23983891,0.24938284283739406,-0.009543932837394076
0,0,6000,-0.13353139,0.35341108,0.35348364455405723,-7.256455405724171e-05
0,0,6500,-0.2135741,0.53545446,0.5346811489116083,0.0007733110883916261
0,100,4500,0.15424591,0.40847598,0.40628875186913294,0.0021872281308670805
0,100,5000,0.0488854,0.24402884,0.2537737883803647,-0.009744948380364687
0,100,5100,0.02908277,0.24066415,0.24214366206022567,-0.001479512060225674
0,100,5200,0.00966468,0.24171028,0.2359738256324539,0.005736454367546107
0,100,5300,-0.00938351,0.24143272,0.23495748586541193,0.006475234134588059
0,100,5400,-0.02807564,0.24172522,0.2388087094377447,0.002916510562255281
0,100,5500,-0.04642478,0.239624,0.24726070187362026,-0.007636701873620255
0,100,6000,-0.13343616,0.35340603,0.3503489755067833,0.003057054493216693
0,100,6500,-0.21347887,0.53557227,0.5370835893742623,-0.0015113193742622988
0,200,5000,0.0488854,0.23562763,0.24515871703938527,-0.009531087039385266
0,200,5100,0.02908277,0.24081489,0.23690178255990166,0.003913107440098346
0,200,5200,0.00966468,0.24186168,0.23357768622395206,0.008283993776047938
0,200,5300,-0.00938351,0.24158395,0.2349084448118981,0.006675505188101893
0,200,5400,-0.02807564,0.24187663,0.24063499928378437,0.001241630716215636
0,200,5500,-0.04642478,0.2397741,0.25051564915676805,-0.01074154915676806
0,200,6000,-0.13343616,0.35362739,0.35481794319796006,-0.0011905531979600759
0,200,6500,-0.21347887,0.53590774,0.5345587877263506,0.0013489522736493953
0,300,5000,0.0488854,0.24012753,0.24767807193295446,-0.007550541932954458
0,300,5100,0.02908277,0.24096592,0.23864286978382476,0.0023230502161752375
0,300,5200,0.00966468,0.24201336,0.23465810755863514,0.007355252441364868
0,300,5300,-0.00938351,0.24173546,0.23543938809944084,0.006296071900559169
0,300,5400,-0.02807564,0.24202833,0.24072166910019502,0.0013066608998049956
0,300,5500,-0.04642478,0.23992447,0.2502576629522016,-0.010333192952201586
