day,timestamp,S,check,strike_a,strike_b,strike_c,lhs,rhs,edge
0,200,5250.5,intrinsic_floor,4500,,,750.0,750.5,0.5
0,300,5250.5,intrinsic_floor,4500,,,750.0,750.5,0.5
0,400,5250.5,intrinsic_floor,4500,,,750.0,750.5,0.5
0,500,5249.5,intrinsic_floor,4500,,,749.0,749.5,0.5
0,600,5248.5,intrinsic_floor,4500,,,748.0,748.5,0.5
0,700,5248.5,intrinsic_floor,4500,,,748.0,748.5,0.5
0,800,5247.5,intrinsic_floor,4500,,,747.0,747.5,0.5
0,900,5246.5,intrinsic_floor,4500,,,746.0,746.5,0.5
0,1000,5247.5,intrinsic_floor,4000,,,1246.5,1247.5,1.0
0,1000,5247.5,intrinsic_floor,4500,,,747.0,747.5,0.5
0,1200,5248.5,intrinsic_floor,4500,,,748.0,748.5,0.5
0,1400,5247.5,intrinsic_floor,4500,,,747.0,747.5,0.5
0,1500,5246.5,intrinsic_floor,4500,,,746.0,746.5,0.5
0,1800,5246.5,intrinsic_floor,4500,,,746.0,746.5,0.5
0,1900,5247.0,intrinsic_floor,4000,,,1246.5,1247.0,0.5
0,2000,5247.5,intrinsic_floor,4500,,,747.0,747.5,0.5
0,2100,5247.0,intrinsic_floor,4000,,,1246.5,1247.0,0.5
0,2200,5247.0,intrinsic_floor,4000,,,1246.5,1247.0,0.5
0,2400,5248.5,intrinsic_floor,4500,,,748.0,748.5,0.5
0,2500,5247.5,intrinsic_floor,4500,,,747.0,747.5,0.5
0,2700,5246.5,intrinsic_floor,4500,,,746.0,746.5,0.5
0,2800,5245.5,intrinsic_floor,4500,,,745.0,745.5,0.5
0,2900,5246.5,intrinsic_floor,4000,,,1241.0,1246.5,5.5
0,2900,5246.5,intrinsic_floor,4500,,,742.5,746.5,4.0
0,3100,5246.5,intrinsic_floor,4500,,,746.0,746.5,0.5
0,3700,5244.5,intrinsic_floor,4500,,,744.0,744.5,0.5
0,4300,5241.5,intrinsic_floor,4500,,,741.0,741.5,0.5
0,4400,5239.5,intrinsic_floor,4500,,,739.0,739.5,0.5
0,4600,5239.5,intrinsic_floor,4500,,,739.0,739.5,0.5
0,4800,5238.5,intrinsic_floor,4500,,,738.0,738.5,0.5
0,4900,5237.5,intrinsic_floor,4500,,,737.0,737.5,0.5
0,5000,5238.5,intrinsic_floor,4500,,,738.0,738.5,0.5
0,5800,5239.0,intrinsic_floor,4000,,,1237.5,1239.0,1.5
0,5800,5239.0,intrinsic_floor,4500,,,738.0,739.0,1.0
0,5900,5239.5,intrinsic_floor,4500,,,739.0,739.5,0.5
0,6000,5239.5,intrinsic_floor,4500,,,739.0,739.5,0.5
0,6400,5235.5,intrinsic_floor,4500,,,735.0,735.5,0.5
0,6500,5234.5,intrinsic_floor,4500,,,734.0,734.5,0.5
0,6900,5235.5,intrinsic_floor,4500,,,735.0,735.5,0.5
0,7500,5237.5,intrinsic_floor,4500,,,737.0,737.5,0.5
0,8000,5233.5,intrinsic_floor,4000,,,1233.0,1233.5,0.5
0,8000,5233.5,intrinsic_floor,4500,,,733.0,733.5,0.5
0,8400,5230.5,intrinsic_floor,4500,,,730.0,730.5,0.5
0,8600,5230.5,intrinsic_floor,4000,,,1229.5,1230.5,1.0
0,8600,5230.5,intrinsic_floor,4500,,,729.5,730.5,1.0
0,8900,5232.5,intrinsic_floor,4000,,,1232.0,1232.5,0.5
0,8900,5232.5,intrinsic_floor,4500,,,732.0,732.5,0.5
0,9200,5233.0,intrinsic_floor,4000,,,1231.5,1233.0,1.5
0,9200,5233.0,intrinsic_floor,4500,,,732.0,733.0,1.0
0,9600,5234.5,intrinsic_floor,4500,,,734.0,734.5,0.5
0,10000,5232.5,intrinsic_floor,4500,,,732.0,732.5,0.5
0,10500,5234.5,intrinsic_floor,4500,,,734.0,734.5,0.5
0,10700,5234.5,intrinsic_floor,4500,,,734.0,734.5,0.5
0,10800,5235.5,intrinsic_floor,4500,,,735.0,735.5,0.5
0,11200,5235.5,intrinsic_floor,4500,,,735.0,735.5,0.5
0,11300,5235.5,intrinsic_floor,4500,,,735.0,735.5,0.5
0,12000,5237.5,intrinsic_floor,4500,,,737.0,737.5,0.5
0,12300,5238.5,intrinsic_floor,4500,,,738.0,738.5,0.5
0,12500,5238.5,intrinsic_floor,4000,,,1237.5,1238.5,1.0
0,12500,5238.5,intrinsic_floor,4500,,,737.5,738.5,1.0
0,12600,5239.5,intrinsic_floor,4000,,,1238.5,1239.5,1.0
0,12600,5239.5,intrinsic_floor,4500,,,738.0,739.5,1.5
0,12700,5239.5,intrinsic_floor,4500,,,739.0,739.5,0.5
0,12800,5238.5,intrinsic_floor,4500,,,738.0,738.5,0.5
0,12900,5238.5,intrinsic_floor,4500,,,738.0,738.5,0.5
0,13000,5238.5,intrinsic_floor,4500,,,738.0,738.5,0.5
0,13700,5242.0,intrinsic_floor,4000,,,1240.5,1242.0,1.5
0,13700,5242.0,intrinsic_floor,4500,,,741.0,742.0,1.0
0,14000,5240.5,intrinsic_floor,4500,,,740.0,740.5,0.5
0,14200,5241.5,intrinsic_floor,4500,,,741.0,741.5,0.5
0,14400,5241.5,intrinsic_floor,4500,,,741.0,741.5,0.5
0,14500,5242.5,intrinsic_floor,4500,,,742.0,742.5,0.5
0,14800,5242.5,intrinsic_floor,4500,,,742.0,742.5,0.5
0,14900,5241.5,intrinsic_floor,4500,,,741.0,741.5,0.5
0,15000,5241.5,intrinsic_floor,4500,,,741.0,741.5,0.5
0,15200,5243.5,intrinsic_floor,4000,,,1238.0,1243.5,5.5
0,15200,5243.5,intrinsic_floor,4500,,,739.5,743.5,4.0
0,15300,5243.5,intrinsic_floor,4500,,,743.0,743.5,0.5
0,15400,5243.5,intrinsic_floor,4000,,,1242.5,1243.5,1.0
0,15400,5243.5,intrinsic_floor,4500,,,742.5,743.5,1.0
0,15600,5243.5,intrinsic_floor,4500,,,743.0,743.5,0.5
0,16000,5242.5,intrinsic_floor,4500,,,742.0,742.5,0.5
0,16300,5242.5,intrinsic_floor,4000,,,1241.5,1242.5,1.0
0,16300,5242.5,intrinsic_floor,4500,,,742.0,742.5,0.5
0,16600,5242.5,intrinsic_floor,4500,,,742.0,742.5,0.5
0,16800,5240.5,intrinsic_floor,4500,,,740.0,740.5,0.5
0,17100,5240.5,intrinsic_floor,4500,,,740.0,740.5,0.5
0,17500,5240.5,intrinsic_floor,4500,,,740.0,740.5,0.5
0,18000,5238.5,intrinsic_floor,4500,,,738.0,738.5,0.5
0,18200,5238.5,intrinsic_floor,4500,,,738.0,738.5,0.5
0,18500,5238.0,intrinsic_floor,4000,,,1237.0,1238.0,1.0
0,18500,5238.0,intrinsic_floor,4500,,,737.0,738.0,1.0
0,18700,5237.5,intrinsic_floor,4000,,,1236.5,1237.5,1.0
0,18700,5237.5,intrinsic_floor,4500,,,736.0,737.5,1.5
0,19300,5238.5,intrinsic_floor,4500,,,738.0,738.5,0.5
0,19500,5238.5,intrinsic_floor,4500,,,738.0,738.5,0.5
0,19700,5237.5,intrinsic_floor,4000,,,1236.0,1237.5,1.5
0,19700,5237.5,intrinsic_floor,4500,,,736.0,737.5,1.5
0,19900,5238.5,intrinsic_floor,4500,,,738.0,738.5,0.5
0,20400,5237.5,intrinsic_floor,4000,,,1236.0,1237.5,1.5
0,20400,5237.5,intrinsic_floor,4500,,,736.0,737.5,1.5
0,20700,5235.5,intrinsic_floor,4500,,,735.0,735.5,0.5
0,20900,5235.5,intrinsic_floor,4500,,,735.0,735.5,0.5
0,21300,5234.5,intrinsic_floor,4500,,,734.0,734.5,0.5
0,21400,5235.5,intrinsic_floor,4000,,,1235.0,1235.5,0.5
0,21400,5235.5,intrinsic_floor,4500,,,735.0,735.5,0.5
0,21500,5236.5,intrinsic_floor,4000,,,1235.5,1236.5,1.0
0,21500,5236.5,intrinsic_floor,4500,,,735.0,736.5,1.5
0,22500,5236.5,intrinsic_floor,4500,,,736.0,736.5,0.5
0,22800,5235.5,intrinsic_floor,4500,,,735.0,735.5,0.5
0,23000,5235.5,intrinsic_floor,4500,,,735.0,735.5,0.5
0,23100,5236.5,intrinsic_floor,4500,,,736.0,736.5,0.5
0,23200,5235.5,intrinsic_floor,4000,,,1234.5,1235.5,1.0
0,23200,5235.5,intrinsic_floor,4500,,,734.5,735.5,1.0
0,23400,5235.5,intrinsic_floor,4500,,,735.0,735.5,0.5
0,24000,5234.5,intrinsic_floor,4500,,,734.0,734.5,0.5
0,24100,5235.5,intrinsic_floor,4500,,,735.0,735.5,0.5
0,24400,5235.5,intrinsic_floor,4500,,,735.0,735.5,0.5
0,25500,5231.5,intrinsic_floor,4000,,,1231.0,1231.5,0.5
0,25500,5231.5,intrinsic_floor,4500,,,731.0,731.5,0.5
0,25700,5231.5,intrinsic_floor,4500,,,731.0,731.5,0.5
0,25900,5230.5,intrinsic_floor,4500,,,730.0,730.5,0.5
0,26200,5227.5,intrinsic_floor,4500,,,727.0,727.5,0.5
0,26600,5229.5,intrinsic_floor,4000,,,1229.0,1229.5,0.5
0,26600,5229.5,intrinsic_floor,4500,,,729.0,729.5,0.5
0,26800,5230.5,intrinsic_floor,4500,,,730.0,730.5,0.5
0,27300,5232.5,intrinsic_floor,4000,,,1232.0,1232.5,0.5
0,27300,5232.5,intrinsic_floor,4500,,,732.0,732.5,0.5
0,27500,5232.5,intrinsic_floor,4500,,,732.0,732.5,0.5
0,27700,5232.5,intrinsic_floor,4500,,,732.0,732.5,0.5
0,28000,5233.5,intrinsic_floor,4500,,,733.0,733.5,0.5
0,28100,5233.5,intrinsic_floor,4500,,,733.0,733.5,0.5
0,28700,5235.5,intrinsic_floor,4000,,,1234.5,1235.5,1.0
0,28700,5235.5,intrinsic_floor,4500,,,734.0,735.5,1.5
0,28900,5233.5,intrinsic_floor,4000,,,1232.5,1233.5,1.0
0,28900,5233.5,intrinsic_floor,4500,,,733.0,733.5,0.5
0,29000,5231.5,intrinsic_floor,4500,,,731.0,731.5,0.5
0,29600,5230.5,intrinsic_floor,4500,,,730.0,730.5,0.5
0,30900,5231.5,intrinsic_floor,4500,,,731.0,731.5,0.5
0,31000,5230.5,intrinsic_floor,4000,,,1230.0,1230.5,0.5
0,31000,5230.5,intrinsic_floor,4500,,,730.0,730.5,0.5
0,31700,5230.5,intrinsic_floor,4000,,,1225.0,1230.5,5.5
0,31700,5230.5,intrinsic_floor,4500,,,726.0,730.5,4.5
0,31800,5228.5,intrinsic_floor,4500,,,728.0,728.5,0.5
0,32000,5228.5,intrinsic_floor,4500,,,728.0,728.5,0.5
0,32800,5228.5,intrinsic_floor,4500,,,728.0,728.5,0.5
0,33100,5231.5,intrinsic_floor,4000,,,1230.5,1231.5,1.0
0,33100,5231.5,intrinsic_floor,4500,,,730.0,731.5,1.5
0,33200,5231.5,intrinsic_floor,4500,,,731.0,731.5,0.5
0,33500,5230.5,intrinsic_floor,4500,,,730.0,730.5,0.5
0,33600,5230.5,intrinsic_floor,4000,,,1230.0,1230.5,0.5
0,33600,5230.5,intrinsic_floor,4500,,,730.0,730.5,0.5
0,33700,5231.5,intrinsic_floor,4000,,,1231.0,1231.5,0.5
0,33700,5231.5,intrinsic_floor,4500,,,731.0,731.5,0.5
0,34100,5228.5,intrinsic_floor,4000,,,1228.0,1228.5,0.5
