day;timestamp;tte_days;tte_years;S;hydrogel;V_4000;intrinsic_4000;time_value_4000;moneyness_4000;log_moneyness_4000;iv_4000;V_4500;intrinsic_4500;time_value_4500;moneyness_4500;log_moneyness_4500;iv_4500;V_5000;intrinsic_5000;time_value_5000;moneyness_5000;log_moneyness_5000;iv_5000;V_5100;intrinsic_5100;time_value_5100;moneyness_5100;log_moneyness_5100;iv_5100;V_5200;intrinsic_5200;time_value_5200;moneyness_5200;log_moneyness_5200;iv_5200;V_5300;intrinsic_5300;time_value_5300;moneyness_5300;log_moneyness_5300;iv_5300;V_5400;intrinsic_5400;time_value_5400;moneyness_5400;log_moneyness_5400;iv_5400;V_5500;intrinsic_5500;time_value_5500;moneyness_5500;log_moneyness_5500;iv_5500;V_6000;intrinsic_6000;time_value_6000;moneyness_6000;log_moneyness_6000;iv_6000;V_6500;intrinsic_6500;time_value_6500;moneyness_6500;log_moneyness_6500;iv_6500
1;0;7.0;0.01917808;5245.0;9958.0;1245.0;1245.0;0.0;1.31125;0.27098088;0.0;745.0;745.0;0.0;1.16555556;0.15319785;0.0;251.0;245.0;6.0;1.049;0.04783733;0.24275997;165.0;145.0;20.0;1.02843137;0.0280347;0.24434634;95.5;45.0;50.5;1.00865385;0.00861662;0.24516615;47.0;0.0;47.0;0.98962264;-0.01043158;0.24424583;16.5;0.0;16.5;0.9712963;-0.02912371;0.22958829;7.5;0.0;7.5;0.95363636;-0.04747285;0.25204015;0.5;0.0;0.5;0.87416667;-0.13448423;0.38022889;0.5;0.0;0.5;0.80692308;-0.21452694;0.57474587
1;100;6.99;0.01915068;5245.5;9961.0;1245.5;1245.5;0.0;1.311375;0.27107621;0.0;746.0;745.5;0.5;1.16566667;0.15329317;0.4343418;252.0;245.5;6.5;1.0491;0.04793265;0.24807648;166.0;145.5;20.5;1.02852941;0.02813003;0.24747418;96.5;45.5;51.0;1.00875;0.00871194;0.24783698;47.0;0.0;47.0;0.98971698;-0.01033625;0.2437258;16.5;0.0;16.5;0.97138889;-0.02902839;0.22927586;7.5;0.0;7.5;0.95372727;-0.04737753;0.25183889;0.5;0.0;0.5;0.87425;-0.1343889;0.3802589;0.5;0.0;0.5;0.807;-0.21443161;0.57492451
1;200;6.98;0.01912329;5246.5;9961.0;1246.5;1246.5;0.0;1.311625;0.27126683;0.0;746.0;746.5;-0.5;1.16588889;0.15348379;;252.0;246.5;5.5;1.0493;0.04812328;0.23921306;166.0;146.5;19.5;1.02872549;0.02832065;0.24368309;96.5;46.5;50.0;1.00894231;0.00890256;0.24583145;47.0;0.0;47.0;0.98990566;-0.01014563;0.24250739;16.5;0.0;16.5;0.97157407;-0.02883777;0.22848546;7.5;0.0;7.5;0.95390909;-0.0471869;0.25125548;0.5;0.0;0.5;0.87441667;-0.13419828;0.38004713;0.5;0.0;0.5;0.80715385;-0.21424099;0.57487125
1;300;6.97;0.01909589;5247.5;9960.0;1247.5;1247.5;0.0;1.311875;0.27145741;0.0;747.0;747.5;-0.5;1.16611111;0.15367438;;254.0;247.5;6.5;1.0495;0.04831386;0.24991007;167.0;147.5;19.5;1.02892157;0.02851123;0.24483392;97.5;47.5;50.0;1.00913462;0.00909315;0.247408;48.0;0.0;48.0;0.99009434;-0.00995505;0.24487836;17.0;0.0;17.0;0.97175926;-0.02864718;0.23026034;7.5;0.0;7.5;0.95409091;-0.04699632;0.25067104;0.5;0.0;0.5;0.87458333;-0.1340077;0.3798353;0.5;0.0;0.5;0.80730769;-0.2140504;0.57481827
1;400;6.96;0.01906849;5247.5;9961.0;1247.5;1247.5;0.0;1.311875;0.27145741;0.0;747.0;747.5;-0.5;1.16611111;0.15367438;;254.0;247.5;6.5;1.0495;0.04831386;0.25008953;167.0;147.5;19.5;1.02892157;0.02851123;0.24500974;97.5;47.5;50.0;1.00913462;0.00909315;0.24758568;48.0;0.0;48.0;0.99009434;-0.00995505;0.24505421;17.0;0.0;17.0;0.97175926;-0.02864718;0.23042569;7.5;0.0;7.5;0.95409091;-0.04699632;0.25085106;0.5;0.0;0.5;0.87458333;-0.1340077;0.38010807;0.5;0.0;0.5;0.80730769;-0.2140504;0.57523106
1;500;6.95;0.0190411;5247.5;9963.0;1247.5;1247.5;0.0;1.311875;0.27145741;0.0;747.0;747.5;-0.5;1.16611111;0.15367438;;253.0;247.5;5.5;1.0495;0.04831386;0.24045006;167.0;147.5;19.5;1.02892157;0.02851123;0.24518594;97.0;47.5;49.5;1.00913462;0.00909315;0.24596166;48.0;0.0;48.0;0.99009434;-0.00995505;0.24523045;17.0;0.0;17.0;0.97175926;-0.02864718;0.23059141;7.5;0.0;7.5;0.95409091;-0.04699632;0.25103146;0.5;0.0;0.5;0.87458333;-0.1340077;0.38038143;0.5;0.0;0.5;0.80730769;-0.2140504;0.57564475
1;600;6.94;0.0190137;5245.0;9964.0;1246.5;1245.0;1.5;1.31125;0.27098088;2.5000005;747.0;745.0;2.0;1.16555556;0.15319785;0.51872208;253.0;245.0;8.0;1.049;0.04783733;0.26200796;166.5;145.0;21.5;1.02843137;0.0280347;0.25275828;96.5;45.0;51.5;1.00865385;0.00861662;0.24981728;48.0;0.0;48.0;0.98962264;-0.01043158;0.24891316;17.0;0.0;17.0;0.9712963;-0.02912371;0.23316497;7.5;0.0;7.5;0.95363636;-0.04747285;0.25312732;0.5;0.0;0.5;0.87416667;-0.13448423;0.38186899;0.5;0.0;0.5;0.80692308;-0.21452694;0.577225
1;700;6.93;0.0189863;5245.5;9964.0;1245.5;1245.5;0.0;1.311375;0.27107621;0.0;745.0;745.5;-0.5;1.16566667;0.15329317;;252.0;245.5;6.5;1.0491;0.04793265;0.24914809;165.5;145.5;20.0;1.02852941;0.02813003;0.24607032;95.5;45.5;50.0;1.00875;0.00871194;0.24530796;47.0;0.0;47.0;0.98971698;-0.01033625;0.24477862;16.5;0.0;16.5;0.97138889;-0.02902839;0.23026626;7.5;0.0;7.5;0.95372727;-0.04737753;0.25292675;0.5;0.0;0.5;0.87425;-0.1343889;0.38190149;0.5;0.0;0.5;0.807;-0.21443161;0.57740799
1;800;6.92;0.0189589;5245.5;9962.0;1245.5;1245.5;0.0;1.311375;0.27107621;0.0;746.0;745.5;0.5;1.16566667;0.15329317;0.4365331;252.0;245.5;6.5;1.0491;0.04793265;0.24932805;165.5;145.5;20.0;1.02852941;0.02813003;0.24624805;96.0;45.5;50.5;1.00875;0.00871194;0.24728667;47.0;0.0;47.0;0.98971698;-0.01033625;0.24495542;16.5;0.0;16.5;0.97138889;-0.02902839;0.23043258;7.5;0.0;7.5;0.95372727;-0.04737753;0.25310944;0.5;0.0;0.5;0.87425;-0.1343889;0.38217733;0.5;0.0;0.5;0.807;-0.21443161;0.57782504
1;900;6.91;0.01893151;5245.5;9961.0;1245.5;1245.5;0.0;1.311375;0.27107621;0.0;745.0;745.5;-0.5;1.16566667;0.15329317;;252.0;245.5;6.5;1.0491;0.04793265;0.24950839;165.5;145.5;20.0;1.02852941;0.02813003;0.24642617;95.5;45.5;50.0;1.00875;0.00871194;0.2456627;47.0;0.0;47.0;0.98971698;-0.01033625;0.2451326;16.5;0.0;16.5;0.97138889;-0.02902839;0.23059926;7.5;0.0;7.5;0.95372727;-0.04737753;0.25329252;0.5;0.0;0.5;0.87425;-0.1343889;0.38245377;0.5;0.0;0.5;0.807;-0.21443161;0.578243
