timestamp,buyer,seller,product,currency,price,quantity
0,,,ASH_COATED_OSMIUM,XIRECS,9982.0,6
3600,,,ASH_COATED_OSMIUM,XIRECS,10001.0,3
4200,,,ASH_COATED_OSMIUM,XIRECS,10002.0,2
9100,,,ASH_COATED_OSMIUM,XIRECS,9994.0,4
9600,,,ASH_COATED_OSMIUM,XIRECS,9989.0,6
10000,,,ASH_COATED_OSMIUM,XIRECS,9988.0,8
12100,,,ASH_COATED_OSMIUM,XIRECS,9989.0,5
15100,,,ASH_COATED_OSMIUM,XIRECS,10011.0,2
15100,,,ASH_COATED_OSMIUM,XIRECS,10011.0,8
18500,,,ASH_COATED_OSMIUM,XIRECS,10010.0,6
23900,,,ASH_COATED_OSMIUM,XIRECS,9991.0,4
24300,,,ASH_COATED_OSMIUM,XIRECS,9992.0,4
24600,,,ASH_COATED_OSMIUM,XIRECS,9991.0,3
30400,,,ASH_COATED_OSMIUM,XIRECS,10010.0,2
32800,,,ASH_COATED_OSMIUM,XIRECS,9993.0,4
34000,,,ASH_COATED_OSMIUM,XIRECS,10010.0,7
34500,,,ASH_COATED_OSMIUM,XIRECS,9994.0,8
36500,,,ASH_COATED_OSMIUM,XIRECS,10013.0,3
37900,,,ASH_COATED_OSMIUM,XIRECS,9996.0,4
38400,,,ASH_COATED_OSMIUM,XIRECS,10012.0,3
39100,,,ASH_COATED_OSMIUM,XIRECS,10011.0,6
39900,,,ASH_COATED_OSMIUM,XIRECS,10013.0,7
41500,,,ASH_COATED_OSMIUM,XIRECS,10009.0,5
50900,,,ASH_COATED_OSMIUM,XIRECS,9990.0,5
54600,,,ASH_COATED_OSMIUM,XIRECS,9986.0,6
58400,,,ASH_COATED_OSMIUM,XIRECS,9990.0,3
59500,,,ASH_COATED_OSMIUM,XIRECS,10007.0,2
62000,,,ASH_COATED_OSMIUM,XIRECS,10008.0,6
63700,,,ASH_COATED_OSMIUM,XIRECS,9990.0,2
64900,,,ASH_COATED_OSMIUM,XIRECS,10005.0,4
65300,,,ASH_COATED_OSMIUM,XIRECS,9989.0,2
76300,,,ASH_COATED_OSMIUM,XIRECS,9994.0,6
76500,,,ASH_COATED_OSMIUM,XIRECS,10013.0,8
83700,,,ASH_COATED_OSMIUM,XIRECS,10009.0,2
85500,,,ASH_COATED_OSMIUM,XIRECS,9995.0,7
85700,,,ASH_COATED_OSMIUM,XIRECS,10011.0,3
85900,,,ASH_COATED_OSMIUM,XIRECS,9995.0,5
87900,,,ASH_COATED_OSMIUM,XIRECS,9993.0,5
88300,,,ASH_COATED_OSMIUM,XIRECS,10011.0,2
90200,,,ASH_COATED_OSMIUM,XIRECS,10011.0,10
90700,,,ASH_COATED_OSMIUM,XIRECS,10015.0,2
90800,,,ASH_COATED_OSMIUM,XIRECS,9994.0,6
95900,,,ASH_COATED_OSMIUM,XIRECS,10007.0,3
96900,,,ASH_COATED_OSMIUM,XIRECS,10007.0,6
96900,,,ASH_COATED_OSMIUM,XIRECS,10007.0,8
105900,,,ASH_COATED_OSMIUM,XIRECS,10011.0,5
107200,,,ASH_COATED_OSMIUM,XIRECS,9991.0,3
111600,,,ASH_COATED_OSMIUM,XIRECS,9992.0,5
114700,,,ASH_COATED_OSMIUM,XIRECS,9991.0,3
116100,,,ASH_COATED_OSMIUM,XIRECS,9989.0,8
122000,,,ASH_COATED_OSMIUM,XIRECS,10007.0,10
122300,,,ASH_COATED_OSMIUM,XIRECS,10007.0,5
124500,,,ASH_COATED_OSMIUM,XIRECS,9989.0,2
126400,,,ASH_COATED_OSMIUM,XIRECS,9988.0,6
126500,,,ASH_COATED_OSMIUM,XIRECS,9988.0,6
127800,,,ASH_COATED_OSMIUM,XIRECS,10003.0,2
130300,,,ASH_COATED_OSMIUM,XIRECS,10003.0,2
131400,,,ASH_COATED_OSMIUM,XIRECS,10003.0,2
137700,,,ASH_COATED_OSMIUM,XIRECS,10007.0,3
139400,,,ASH_COATED_OSMIUM,XIRECS,9989.0,6
139400,,,ASH_COATED_OSMIUM,XIRECS,9989.0,5
142000,,,ASH_COATED_OSMIUM,XIRECS,9992.0,2
142200,,,ASH_COATED_OSMIUM,XIRECS,9992.0,6
146700,,,ASH_COATED_OSMIUM,XIRECS,10009.0,6
149500,,,ASH_COATED_OSMIUM,XIRECS,10009.0,9
153200,,,ASH_COATED_OSMIUM,XIRECS,9994.0,5
154600,,,ASH_COATED_OSMIUM,XIRECS,9992.0,2
155300,,,ASH_COATED_OSMIUM,XIRECS,10009.0,10
155500,,,ASH_COATED_OSMIUM,XIRECS,10013.0,6
155700,,,ASH_COATED_OSMIUM,XIRECS,10010.0,7
155800,,,ASH_COATED_OSMIUM,XIRECS,9995.0,5
158200,,,ASH_COATED_OSMIUM,XIRECS,9994.0,5
165300,,,ASH_COATED_OSMIUM,XIRECS,9988.0,5
172700,,,ASH_COATED_OSMIUM,XIRECS,10008.0,4
173100,,,ASH_COATED_OSMIUM,XIRECS,10002.0,2
177700,,,ASH_COATED_OSMIUM,XIRECS,9989.0,10
181600,,,ASH_COATED_OSMIUM,XIRECS,9994.0,2
182700,,,ASH_COATED_OSMIUM,XIRECS,9993.0,5
184800,,,ASH_COATED_OSMIUM,XIRECS,9995.0,4
185900,,,ASH_COATED_OSMIUM,XIRECS,9996.0,10
186800,,,ASH_COATED_OSMIUM,XIRECS,9995.0,4
