ts;day;side;qty;price;counterparty;mid_pre;mid_post_5;mid_post_20;mid_post_100;mid_post_500;spread_pre;imb1_pre;imb2_pre;imb3_pre;depth_bid_pre;depth_ask_pre;microprice_pre;inventory_day_pre;inventory_day;inventory_cum_pre;inventory_cum;trades_since_last_5;trades_since_last_20;trades_since_last_100;trades_other_mark_since_last_5;trades_other_mark_since_last_20;trades_other_mark_since_last_100;recent_ret_5;recent_ret_20;recent_ret_100;realised_vol_100;aggressor;adverse_select_5;adverse_select_20;adverse_select_100
10400;1;buy;12;5240.0;Mark 49;5241.5;5243.5;5241.5;5228.5;5248.5;1.0;0.1875;-0.1024;-0.1024;57.0;70.0;5241.59375;0;12;0;12;0;0;0;0;1;2;-3.5;-7.0;-6.0;1.101589135108699;sell;3.5;1.5;-11.5
17400;1;buy;8;5230.0;Mark 22;5231.5;5233.0;5228.5;5236.5;5248.5;5.0;0.4839;0.0;0.0;69.0;69.0;5232.709677419355;12;20;12;20;0;0;1;0;0;3;2.0;-2.0;-15.0;1.1880179262977368;ambiguous;3.0;-1.5;6.5
32800;1;buy;7;5238.0;Mark 22;5238.0;5239.5;5235.5;5231.5;5235.5;6.0;0.0;0.0;0.0;56.0;56.0;5238.0;20;27;20;27;0;0;0;1;2;3;1.5;3.5;6.5;1.3231552140382814;ambiguous;1.5;-2.5;-6.5
39400;1;buy;9;5233.0;Mark 49;5234.5;5234.5;5227.5;5243.5;5242.5;5.0;0.0;0.0;0.0;63.0;63.0;5234.5;27;36;27;36;0;0;1;0;1;4;0.5;2.0;-4.0;1.276589458217543;ambiguous;1.5;-5.5;10.5
45400;1;buy;8;5241.0;Mark 22;5240.5;5247.5;5246.0;5247.5;5244.5;5.0;0.4118;0.0;0.0;60.0;60.0;5241.529411764706;36;44;36;44;0;0;1;0;1;5;-4.0;9.0;7.0;1.3219401509437854;ambiguous;6.5;5.0;6.5
78400;1;buy;7;5238.0;Mark 22;5239.5;5237.5;5237.5;5242.5;5263.5;5.0;0.0;0.0;0.0;50.0;50.0;5239.5;44;51;44;51;0;0;0;0;1;5;3.0;2.0;-7.0;1.0801470649264373;ambiguous;-0.5;-0.5;4.5
84600;1;buy;8;5233.0;Mark 22;5233.5;5236.5;5236.5;5244.5;5261.5;5.0;-0.4286;0.0;0.0;55.0;55.0;5232.428571428572;51;59;51;59;0;0;1;0;1;3;2.0;-4.0;-6.0;1.1107207762491669;ambiguous;3.5;3.5;11.5
88500;1;buy;6;5242.0;Mark 22;5242.5;5243.0;5244.5;5245.5;5257.5;5.0;-0.5208;0.0;0.0;73.0;73.0;5241.197916666667;59;65;59;65;0;0;1;0;1;3;2.0;6.0;1.5;1.0647106721673252;ambiguous;1.0;2.5;3.5
109000;1;buy;12;5265.0;Mark 49;5266.5;5268.5;5264.5;5257.5;5254.5;5.0;-0.4627;0.0;0.0;49.0;49.0;5265.3432835820895;65;77;65;77;0;0;0;0;1;3;2.0;7.0;20.5;1.1101235280480108;ambiguous;3.5;-0.5;-7.5
132600;1;buy;10;5263.0;Mark 49;5264.5;5263.5;5261.5;5262.5;5246.5;5.0;0.0;0.0;0.0;65.0;65.0;5264.5;77;87;77;87;0;0;0;0;2;4;2.0;2.5;1.0;0.940072525624126;ambiguous;0.5;-1.5;-0.5
139700;1;buy;8;5257.0;Mark 22;5258.5;5257.5;5259.5;5265.5;5240.5;5.0;-0.525;0.0;0.0;61.0;61.0;5257.1875;87;95;87;95;0;0;1;0;1;6;-1.0;-1.5;-5.5;1.2037166536469932;ambiguous;0.5;2.5;8.5
163300;1;buy;10;5254.0;Mark 22;5254.5;5255.0;5251.5;5249.0;5256.5;5.0;0.4588;0.0;0.0;62.0;62.0;5255.64705882353;95;105;95;105;0;0;0;0;0;0;1.0;0.0;-1.0;1.2308734641491197;ambiguous;1.0;-2.5;-5.0
197600;1;buy;9;5237.0;Mark 49;5236.5;5238.5;5237.0;5248.0;5256.5;5.0;0.5;0.0;0.0;45.0;45.0;5237.75;105;114;105;114;0;0;0;0;1;8;2.0;1.0;4.5;1.1238707218577393;ambiguous;1.5;0.0;11.0
