ts;day;side;qty;price;counterparty;mid_pre;mid_post_5;mid_post_20;mid_post_100;mid_post_500;spread_pre;imb1_pre;imb2_pre;imb3_pre;depth_bid_pre;depth_ask_pre;microprice_pre;inventory_day_pre;inventory_day;inventory_cum_pre;inventory_cum;trades_since_last_5;trades_since_last_20;trades_since_last_100;trades_other_mark_since_last_5;trades_other_mark_since_last_20;trades_other_mark_since_last_100;recent_ret_5;recent_ret_20;recent_ret_100;realised_vol_100;aggressor;adverse_select_5;adverse_select_20;adverse_select_100
4500;1;buy;2;18.0;Mark 22;18.5;18.0;18.0;15.0;16.0;1.0;0.0;0.0;0.0;30.0;30.0;18.5;0;2;0;2;0;0;0;0;0;0;0.5;0.5;;0.23399159411334092;sell;0.0;0.0;-3.0
9600;1;buy;4;16.0;Mark 22;17.0;16.5;16.0;13.5;16.5;2.0;0.0;0.0;0.0;18.0;18.0;17.0;2;6;2;6;0;0;1;0;0;0;0.0;0.0;;0.2665050294983613;sell;0.5;0.0;-2.5
14800;1;buy;4;14.0;Mark 22;15.0;14.5;14.5;14.5;16.0;2.0;0.0;0.0;0.0;20.0;20.0;15.0;6;10;6;10;0;0;1;0;0;0;0.0;-0.5;-3.0;0.308287726505694;sell;0.5;0.5;0.5
16700;1;buy;2;14.0;Mark 22;14.5;14.5;13.5;14.0;16.0;1.0;0.0;0.0;0.0;25.0;25.0;14.5;10;12;10;12;0;1;2;0;0;0;0.0;-0.5;-3.0;0.29144521305562643;sell;0.5;-0.5;0.0
40400;1;buy;4;14.0;Mark 22;14.5;14.0;14.0;16.5;16.0;1.0;0.0;0.0;0.0;30.0;30.0;14.5;12;16;12;16;0;0;0;0;0;0;0.0;0.5;-0.5;0.2705675805248257;sell;0.0;0.0;2.5
43400;1;buy;5;13.0;Mark 22;14.0;14.5;16.0;15.5;16.0;2.0;0.0;0.0;0.0;25.0;25.0;14.0;16;21;16;21;0;0;1;0;0;0;0.0;0.5;-1.5;0.24052284646041733;sell;1.5;3.0;2.5
50700;1;buy;5;16.0;Mark 22;16.5;16.5;17.0;16.5;16.5;1.0;0.0;0.0;0.0;20.0;20.0;16.5;21;26;21;26;0;0;1;0;0;0;-0.5;0.0;2.5;0.2598925319246183;sell;0.5;1.0;0.5
52800;1;buy;3;16.0;Mark 22;17.0;16.5;16.5;16.0;16.5;2.0;0.0;0.0;0.0;25.0;25.0;17.0;26;29;26;29;0;0;2;0;0;0;0.5;1.0;3.0;0.27356772856466344;sell;0.5;0.5;0.0
74100;1;buy;3;14.0;Mark 22;15.0;15.5;15.5;14.0;20.0;2.0;0.0;0.0;0.0;17.0;17.0;15.0;29;32;29;32;0;0;0;0;0;0;0.0;-1.0;-0.5;0.27974509947729753;sell;1.5;1.5;0.0
85300;1;buy;2;14.0;Mark 22;14.5;14.5;15.5;16.0;19.0;1.0;0.0;0.0;0.0;21.0;21.0;14.5;32;34;32;34;0;0;0;0;0;0;0.0;0.0;-1.0;0.25603619910376924;sell;0.5;1.5;2.0
86100;1;buy;5;14.0;Mark 22;15.0;14.5;15.5;15.5;20.0;2.0;0.0;0.0;0.0;20.0;20.0;15.0;34;39;34;39;0;1;1;0;0;0;0.5;1.0;-0.5;0.25120868920092704;sell;0.5;1.5;1.5
89800;1;buy;4;15.0;Mark 22;16.0;16.0;15.5;17.0;19.0;2.0;0.0;0.0;0.0;23.0;23.0;16.0;39;43;39;43;0;0;2;0;0;0;0.5;0.5;0.5;0.24094667559346591;sell;1.0;0.5;2.0
120300;1;buy;4;18.0;Mark 22;19.0;19.5;20.0;19.5;17.5;2.0;0.0;0.0;0.0;27.0;27.0;19.0;43;47;43;47;0;0;0;0;0;0;0.0;0.5;-2.0;0.2923191137068239;sell;1.5;2.0;1.5
135900;1;buy;3;19.0;Mark 22;19.5;20.0;19.0;19.5;15.0;1.0;0.0;0.0;0.0;16.0;16.0;19.5;47;50;47;50;0;0;0;0;0;0;0.5;-1.0;-0.5;0.2705675805248257;sell;1.0;0.0;0.5
145500;1;buy;2;19.0;Mark 22;19.5;20.0;21.0;17.0;14.5;1.0;0.0;0.0;0.0;20.0;20.0;19.5;50;52;50;52;0;0;1;0;0;0;0.0;-1.0;0.5;0.27974509947729753;sell;1.0;2.0;-2.0
150600;1;buy;2;20.0;Mark 22;20.0;20.5;18.5;18.5;15.5;2.0;0.0;0.0;0.0;25.0;25.0;20.0;52;54;52;54;0;0;1;0;0;0;-0.5;0.0;1.5;0.2969078476100822;ambiguous;0.5;-1.5;-1.5
153000;1;buy;4;18.0;Mark 22;18.5;18.5;18.0;18.5;15.5;1.0;0.4167;0.0;0.0;17.0;17.0;18.708333333333332;54;58;54;58;0;0;2;0;0;0;0.0;-2.0;-1.5;0.28827723621879464;sell;0.5;0.0;0.5
170400;1;buy;5;17.0;Mark 22;17.5;17.5;17.5;17.0;16.5;1.0;0.0;0.0;0.0;21.0;21.0;17.5;58;63;58;63;0;0;0;0;0;0;0.0;0.0;-1.0;0.2840881032409138;sell;0.5;0.5;0.0
172500;1;buy;5;17.0;Mark 22;17.5;17.0;16.5;16.5;16.5;1.0;-0.6667;0.0;0.0;25.0;25.0;17.166666666666668;63;68;63;68;0;0;1;0;0;0;0.0;1.0;-1.0;0.30960872977765863;sell;0.0;-0.5;-0.5
190100;1;buy;3;15.0;Mark 22;15.5;15.0;15.0;15.5;18.0;1.0;0.0;0.0;0.0;21.0;21.0;15.5;68;71;68;71;0;0;0;0;0;0;0.0;1.5;-1.0;0.317660306939725;sell;0.0;0.0;0.5
195600;1;buy;3;14.0;Mark 22;14.5;14.5;15.5;16.5;18.0;1.0;0.0;0.0;0.0;23.0;23.0;14.5;71;74;71;74;0;0;1;0;0;0;0.0;-0.5;-1.0;0.2459756699370893;sell;0.5;1.5;2.5
235300;1;buy;3;16.0;Mark 22;16.5;16.5;17.0;17.5;20.0;1.0;0.0;0.0;0.0;23.0;23.0;16.5;74;77;74;77;0;0;0;0;0;0;-0.5;1.0;-0.5;0.2610676360266684;sell;0.5;1.0;1.5
252500;1;buy;2;19.0;Mark 22;20.0;20.0;20.0;18.0;20.5;2.0;0.0;0.0;0.0;21.0;21.0;20.0;77;79;77;79;0;0;0;0;0;0;0.0;0.5;1.5;0.2969078476100822;sell;1.0;1.0;-1.0
304000;1;buy;3;19.0;Mark 22;19.5;20.0;19.5;18.0;15.5;1.0;0.0;0.0;0.0;27.0;27.0;19.5;79;82;79;82;0;0;0;0;0;0;0.0;-1.0;-2.0;0.26513948986680175;sell;1.0;0.5;-1.0
322000;1;buy;2;16.0;Mark 22;16.5;17.0;17.0;15.0;16.5;1.0;0.0;0.0;0.0;26.0;26.0;16.5;82;84;82;84;0;0;0;0;0;0;0.0;1.0;-3.5;0.28650211320571384;sell;1.0;1.0;-1.0
350300;1;buy;4;15.0;Mark 22;16.0;15.5;15.5;16.5;15.0;2.0;0.0;0.0;0.0;22.0;22.0;16.0;84;88;84;88;0;0;0;0;0;0;0.0;-0.5;-0.5;0.24094667559346591;sell;0.5;0.5;1.5
376600;1;buy;5;15.0;Mark 22;15.5;16.5;16.0;15.5;14.0;1.0;0.0;0.0;0.0;27.0;27.0;15.5;88;93;88;93;0;0;0;0;0;0;-0.5;-1.5;-1.0;0.2459756699370893;sell;1.5;1.0;0.5
399700;1;buy;5;14.0;Mark 22;14.5;14.5;15.5;13.5;15.5;1.0;0.0;0.0;0.0;19.0;19.0;14.5;93;98;93;98;0;0;0;0;0;0;0.0;0.0;-1.0;0.23548572175504578;sell;0.5;1.5;-0.5
410400;1;buy;3;13.0;Mark 22;13.5;13.5;13.5;12.5;16.5;1.0;0.0;0.0;0.0;25.0;25.0;13.5;98;101;98;101;0;0;0;0;0;0;0.0;-1.0;-2.0;0.30083379013808953;sell;0.5;0.5;-0.5
428000;1;buy;2;13.0;Mark 22;13.5;13.5;13.5;13.5;17.0;1.0;0.0;0.0;0.0;27.0;27.0;13.5;101;103;101;103;0;0;0;0;0;0;-0.5;0.0;0.0;0.24618298195866548;sell;0.5;0.5;0.5
437100;1;buy;4;13.0;Mark 22;13.5;13.5;14.5;16.5;14.0;1.0;0.0;0.0;0.0;22.0;22.0;13.5;103;107;103;107;0;0;1;0;0;0;0.0;0.0;-0.5;0.2886309507521121;sell;0.5;1.5;3.5
455700;1;buy;4;15.0;Mark 22;15.5;15.5;14.5;17.0;17.5;1.0;0.0;0.0;0.0;17.0;17.0;15.5;107;111;107;111;0;0;0;0;0;0;0.0;-0.5;0.5;0.24094667559346591;sell;0.5;-0.5;2.0
476500;1;buy;2;17.0;Mark 22;17.5;17.5;17.0;14.5;16.5;1.0;0.0;0.0;0.0;26.0;26.0;17.5;111;113;111;113;0;0;0;0;0;0;0.0;0.5;1.0;0.23548572175504578;sell;0.5;0.0;-2.5
489700;1;buy;4;14.0;Mark 22;14.5;14.5;15.5;15.0;13.0;1.0;0.0;0.0;0.0;30.0;30.0;14.5;113;117;113;117;0;0;0;0;0;0;0.0;0.5;-1.5;0.250802202382528;sell;0.5;1.5;1.0
519500;1;buy;4;17.0;Mark 22;17.5;17.5;17.5;16.5;13.5;1.0;0.0;0.0;0.0;24.0;24.0;17.5;117;121;117;121;0;0;0;0;0;0;0.0;-1.0;-1.0;0.2928422023095803;sell;0.5;0.5;-0.5
524000;1;buy;4;17.0;Mark 22;17.5;17.5;16.5;15.0;13.0;1.0;0.4839;0.0;0.0;23.0;23.0;17.741935483870968;121;125;121;125;0;0;1;0;0;0;0.0;-1.0;-1.5;0.27938013506948145;sell;0.5;-0.5;-2.0
547600;1;buy;4;12.0;Mark 22;12.5;12.5;12.5;11.5;13.5;1.0;0.0;0.0;0.0;21.0;21.0;12.5;125;129;125;129;0;0;0;0;0;0;0.0;-1.0;-1.0;0.22450616940295828;sell;0.5;0.5;-0.5
548400;1;buy;5;12.0;Mark 22;12.5;12.0;12.5;11.5;13.5;1.0;0.0;0.0;0.0;26.0;26.0;12.5;129;134;129;134;0;1;1;0;0;0;-0.5;0.0;-0.5;0.23022770343518142;sell;0.0;0.5;-0.5
